team_short_display_name,team_id,team,School
Abilene Chrstn,2000,Abilene Christian,Abilene Christian
Air Force,2005,Air Force,Air Force
Akron,2006,Akron,Akron
Alabama,333,Alabama,Alabama
Alabama A&M,2010,Alabama A&M,Alabama A&M
Alabama State,2011,Alabama St.,Alabama State
Albany,399,Albany,Albany (NY)
Alcorn State,2016,Alcorn St.,Alcorn State
American,44,American,American
Appalachian St,2026,Appalachian St.,Appalachian State
Arizona,12,Arizona,Arizona
Arizona State,9,Arizona St.,Arizona State
Arkansas,8,Arkansas,Arkansas
AR-Pine Bluff,2029,Arkansas Pine Bluff,Arkansas-Pine Bluff
Arkansas State,2032,Arkansas St.,Arkansas State
Army,349,Army,Army
Auburn,2,Auburn,Auburn
Austin Peay,2046,Austin Peay,Austin Peay
Ball State,2050,Ball St.,Ball State
Baylor,239,Baylor,Baylor
Bellarmine,91,Bellarmine,Bellarmine
Belmont,2057,Belmont,Belmont
Bethune-Cookman,2065,Bethune Cookman,Bethune-Cookman
Binghamton,2066,Binghamton,Binghamton
Boise State,68,Boise St.,Boise State
Boston College,103,Boston College,Boston College
Boston Univ,104,Boston University,Boston University
Bowling Green,189,Bowling Green,Bowling Green State
Bradley,71,Bradley,Bradley
Brown,225,Brown,Brown
Bryant,2803,Bryant,Bryant
Bucknell,2083,Bucknell,Bucknell
Buffalo,2084,Buffalo,Buffalo
Butler,2086,Butler,Butler
BYU,252,BYU,Brigham Young
CA Baptist,2856,Cal Baptist,California Baptist
Cal Poly,13,Cal Poly,Cal Poly
CSU Bakersfield,2934,Cal St. Bakersfield,Cal State Bakersfield
CSU Fullerton,2239,Cal St. Fullerton,Cal State Fullerton
CSU Northridge,2463,Cal St. Northridge,Cal State Northridge
California,25,California,California
Campbell,2097,Campbell,Campbell
Canisius,2099,Canisius,Canisius
C Arkansas,2110,Central Arkansas,Central Arkansas
C Connecticut,2115,Central Connecticut,Central Connecticut State
C Michigan,2117,Central Michigan,Central Michigan
Charleston,232,Charleston,College of Charleston
Charleston So,2127,Charleston Southern,Charleston Southern
Charlotte,2429,Charlotte,Charlotte
Chattanooga,236,Chattanooga,Chattanooga
Chicago State,2130,Chicago St.,Chicago State
Cincinnati,2132,Cincinnati,Cincinnati
Clemson,228,Clemson,Clemson
Cleveland State,325,Cleveland St.,Cleveland State
Coast Carolina,324,Coastal Carolina,Coastal Carolina
Colgate,2142,Colgate,Colgate
Colorado,38,Colorado,Colorado
Colorado State,36,Colorado St.,Colorado State
Columbia,171,Columbia,Columbia
UConn,41,Connecticut,Connecticut
Coppin State,2154,Coppin St.,Coppin State
Cornell,172,Cornell,Cornell
Creighton,156,Creighton,Creighton
Dartmouth,159,Dartmouth,Dartmouth
Davidson,2166,Davidson,Davidson
Dayton,2168,Dayton,Dayton
Delaware,48,Delaware,Delaware
Delaware State,2169,Delaware St.,Delaware State
Denver,2172,Denver,Denver
DePaul,305,DePaul,DePaul
Detroit Mercy,2174,Detroit Mercy,Detroit Mercy
Dixie State,3101,Dixie St.,Dixie State
Drake,2181,Drake,Drake
Drexel,2182,Drexel,Drexel
Duke,150,Duke,Duke
Duquesne,2184,Duquesne,Duquesne
East Carolina,151,East Carolina,East Carolina
ETSU,2193,East Tennessee St.,East Tennessee State
E Illinois,2197,Eastern Illinois,Eastern Illinois
E Kentucky,2198,Eastern Kentucky,Eastern Kentucky
E Michigan,2199,Eastern Michigan,Eastern Michigan
E Washington,331,Eastern Washington,Eastern Washington
Elon,2210,Elon,Elon
Evansville,339,Evansville,Evansville
Fairfield,2217,Fairfield,Fairfield
Fair Dickinson,161,Fairleigh Dickinson,Fairleigh Dickinson
FIU,2229,FIU,Florida International
Florida,57,Florida,Florida
Florida A&M,50,Florida A&M,Florida A&M
FAU,2226,Florida Atlantic,Florida Atlantic
FGCU,526,Florida Gulf Coast,Florida Gulf Coast
Florida State,52,Florida St.,Florida State
Fordham,2230,Fordham,Fordham
Fresno State,278,Fresno St.,Fresno State
Furman,231,Furman,Furman
Gardner-Webb,2241,Gardner Webb,Gardner-Webb
George Mason,2244,George Mason,George Mason
G Washington,45,George Washington,George Washington
Georgetown,46,Georgetown,Georgetown
Georgia,61,Georgia,Georgia
Georgia So,290,Georgia Southern,Georgia Southern
Georgia State,2247,Georgia St.,Georgia State
Georgia Tech,59,Georgia Tech,Georgia Tech
Gonzaga,2250,Gonzaga,Gonzaga
Grambling,2755,Grambling St.,Grambling
Grand Canyon,2253,Grand Canyon,Grand Canyon
Green Bay,2739,Green Bay,Green Bay
Hampton,2261,Hampton,Hampton
Hartford,42,Hartford,Hartford
Harvard,108,Harvard,Harvard
Hawai'i,62,Hawaii,Hawaii
High Point,2272,High Point,High Point
Hofstra,2275,Hofstra,Hofstra
Holy Cross,107,Holy Cross,Holy Cross
Houston,248,Houston,Houston
Houston Baptist,2277,Houston Baptist,Houston Baptist
Howard,47,Howard,Howard
Idaho,70,Idaho,Idaho
Idaho State,304,Idaho St.,Idaho State
Illinois,356,Illinois,Illinois
UIC,82,Illinois Chicago,Illinois-Chicago
Illinois State,2287,Illinois St.,Illinois State
Incarnate Word,2916,Incarnate Word,Incarnate Word
Indiana,84,Indiana,Indiana
Indiana State,282,Indiana St.,Indiana State
Iona,314,Iona,Iona
Iowa,2294,Iowa,Iowa
Iowa State,66,Iowa St.,Iowa State
IUPUI,85,IUPUI,IUPUI
Jackson State,2296,Jackson St.,Jackson State
Jacksonville,294,Jacksonville,Jacksonville
J'Ville St,55,Jacksonville St.,Jacksonville State
James Madison,256,James Madison,James Madison
Kansas,2305,Kansas,Kansas
Kansas State,2306,Kansas St.,Kansas State
Kennesaw State,338,Kennesaw St.,Kennesaw State
Kent State,2309,Kent St.,Kent State
Kentucky,96,Kentucky,Kentucky
La Salle,2325,La Salle,La Salle
Lafayette,322,Lafayette,Lafayette
Lamar,2320,Lamar,Lamar
Lehigh,2329,Lehigh,Lehigh
Liberty,2335,Liberty,Liberty
Lipscomb,288,Lipscomb,Lipscomb
Little Rock,2031,Little Rock,Little Rock
Long Island,112358,LIU,Long Island University
Long Beach St,299,Long Beach St.,Cal State Long Beach
Longwood,2344,Longwood,Longwood
Louisiana,309,Louisiana,Louisiana
UL Monroe,2433,Louisiana Monroe,Louisiana-Monroe
Louisiana Tech,2348,Louisiana Tech,Louisiana Tech
Louisville,97,Louisville,Louisville
Loyola Chicago,2350,Loyola Chicago,Loyola (IL)
